Paragraph,Question,Answer
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too . With the great variety on the menu , I eat here often and never get bored . The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down . It 's all about the food ! !",how is the sushi there ?,great
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too . With the great variety on the menu , I eat here often and never get bored . The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down . It 's all about the food ! !",is the thai food good ?,excellent
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too . With the great variety on the menu , I eat here often and never get bored . The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down . It 's all about the food ! !",how is its atmosphere ?,n't the greatest
Love Pizza 33.. I will be out with friends and all of a sudden I am hungry and I only crave one thing ... their Pizza . I live in the neightborhood and am a regular . It hits the spot every time,do you like pizza 33 ?,Love
Pizza here is consistently good . Salads are a delicious way to begin the meal . You should pass on the calamari . It is thick and slightly soggy . Decor is charming . Service is average .,how is the pizza there ?,consistently good
Pizza here is consistently good . Salads are a delicious way to begin the meal . You should pass on the calamari . It is thick and slightly soggy . Decor is charming . Service is average .,how are the salads ?,a delicious way to begin the meal
Pizza here is consistently good . Salads are a delicious way to begin the meal . You should pass on the calamari . It is thick and slightly soggy . Decor is charming . Service is average .,how is their service ?,average
"We had the lobster sandwich and it was FANTASTIC . My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had . We had the scallops as an appetizer and they were delicious and the sauce was wonderful . I recommend getting a reservation even though we saw people seated without one . We waited at the bar and had martinis that were just right . We will be back .",how is the lobster sandwich ?,FANTASTIC
"This small Astoria souvlaki spot makes what many consider the best gyros in New York . Small , bright , and clean , BZ Grill stands apart from the usual run of gyro joints , both in Astoria and out . What really makes it shine is the food , which is aggressively seasoned with Cyrpriot spices , and all made in-house ( even the gyro meat and sausages ) , and made of much higher quality ingredients that might otherwise be expected . All the various Greek and Cypriot dishes are excellent , but the gyro is the reason to come -- if you do n't eat one your trip was wasted .",how is the food ?,What really makes it shine
"Loved It My wife and I went to Water 's Edge for a romantic dinner . We had a very nice time . The waiter was attentive , the food was delicious and the views of the city were great . I 'd definitely go back again .",how is the food ?,delicious
"Loved It My wife and I went to Water 's Edge for a romantic dinner . We had a very nice time . The waiter was attentive , the food was delicious and the views of the city were great . I 'd definitely go back again .",will you come back again ?,definitely
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",how is the seabass ?,bland
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",what kind of salad do they have ?,goat cheese salad
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",how is the goat cheese salad ?,missing the goat cheese
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",do they have penne with chicken ?,penne w/ chicken
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",does their penne with chicken have bones ?,had
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",how is the atmosphere ?,Nice
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",how is their service ?,very pleasant
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",how is its dessert ?,good
"The food was actually aweful . I 'm not picky - but it was actually gross . The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting . Nice atmosphere , the service was very pleasant and the desert was good . Would n't recomend it for dinner !",will you recommend it for dinner ?,n't
I love Indian food and consider myself to be quite an expert on it . Chennai Garden is my favorite Indian restaurant in the city . They have authentic Indian at amazin prices . This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever . The seats are uncomfortable if you are sitting against the wall on wooden benches . It 's a rather cramped and busy restaurant and it closes early .,Is this place vegan ?,VEGETARIAN
I love Indian food and consider myself to be quite an expert on it . Chennai Garden is my favorite Indian restaurant in the city . They have authentic Indian at amazin prices . This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever . The seats are uncomfortable if you are sitting against the wall on wooden benches . It 's a rather cramped and busy restaurant and it closes early .,does this restaurant have a dish with meat ?,NO
Awsome Pizza especially the Margheritta slice . Always busy but fast moving . Great atmoshere and worth every bit . Open late ( well as late as I ever got there and I 'm a night person ),how is their pizza ?,Awsome
Awsome Pizza especially the Margheritta slice . Always busy but fast moving . Great atmoshere and worth every bit . Open late ( well as late as I ever got there and I 'm a night person ),what is their best pizza ?,Margheritta slice
Gorgeous place ideal for a romantic dinner I took my boyfriend for a dinner on saturday night . I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! I completely recommend Casa La Femme for any special occasion and to REALLY impress your date .,how is the service there ?,spectacular
Gorgeous place ideal for a romantic dinner I took my boyfriend for a dinner on saturday night . I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! I completely recommend Casa La Femme for any special occasion and to REALLY impress your date .,how is the recommendation from the waiter ?,amazing
Gorgeous place ideal for a romantic dinner I took my boyfriend for a dinner on saturday night . I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! I completely recommend Casa La Femme for any special occasion and to REALLY impress your date .,any recommended dish ?,Casa La Femme
"This is some really good , inexpensive sushi . It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice . The spicy Tuna roll is huge and probably the best that I 've had at this price range . The Yellowtail was particularly good as well . I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .",how much to upgrade to an inside-out roll ?,$ 2 extra
"This is some really good , inexpensive sushi . It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice . The spicy Tuna roll is huge and probably the best that I 've had at this price range . The Yellowtail was particularly good as well . I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .",do they have rolls with tuna ?,spicy Tuna roll
"This is some really good , inexpensive sushi . It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice . The spicy Tuna roll is huge and probably the best that I 've had at this price range . The Yellowtail was particularly good as well . I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .",is the spicy Tuna roll good ?,probably the best that I 've had at this price range
"This is some really good , inexpensive sushi . It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice . The spicy Tuna roll is huge and probably the best that I 've had at this price range . The Yellowtail was particularly good as well . I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .",will you come back again ?,sure to stop by
"Possibly the Most Romantic Restaurant in the City This is undoubtedly my favorite modern Japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! Not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . It ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth ! My party had the BBE $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake ! I never used to be a fan of sakes but am lately experimenting with it a lot more and am acquiring a better taste of it . We started off with a delightful sashimi amuse bouche . Our first course was Tuna Sashimi with Green Yuzu Sauce . I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better . The entrees were served with miso soup and rice . The sake ’ s complimented the courses very well and is successfully easing me into the sake world . For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie . I don ’ t usually visit the same establishment more than once , what more twice , but I ’ ll come to Zenkichi anytime for a quiet , unhurried and memorable dinner .",do they have tuna ?,Tuna Sashimi with Green Yuzu Sauce
"Possibly the Most Romantic Restaurant in the City This is undoubtedly my favorite modern Japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! Not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . It ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth ! My party had the BBE $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake ! I never used to be a fan of sakes but am lately experimenting with it a lot more and am acquiring a better taste of it . We started off with a delightful sashimi amuse bouche . Our first course was Tuna Sashimi with Green Yuzu Sauce . I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better . The entrees were served with miso soup and rice . The sake ’ s complimented the courses very well and is successfully easing me into the sake world . For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie . I don ’ t usually visit the same establishment more than once , what more twice , but I ’ ll come to Zenkichi anytime for a quiet , unhurried and memorable dinner .",how is the grilled black cod ?,absolutely devoured
"Possibly the Most Romantic Restaurant in the City This is undoubtedly my favorite modern Japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! Not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . It ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth ! My party had the BBE $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake ! I never used to be a fan of sakes but am lately experimenting with it a lot more and am acquiring a better taste of it . We started off with a delightful sashimi amuse bouche . Our first course was Tuna Sashimi with Green Yuzu Sauce . I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better . The entrees were served with miso soup and rice . The sake ’ s complimented the courses very well and is successfully easing me into the sake world . For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . Maybe it was the great company ( I had friends visiting from Philly – yes , it was not a date this time ) or the super reasonable price point , but I just can ’ t say enough good things about this brasserie . I don ’ t usually visit the same establishment more than once , what more twice , but I ’ ll come to Zenkichi anytime for a quiet , unhurried and memorable dinner .",what kind of soup do they have ?,miso
"I have been to Roth 's twice and both times were very disappointing . Once for dinner and once for brunch . Both times I was extremely dissappointed by the service , which was boarderline rude . They wouldnt even let me finish my glass of wine before offering another . Much of the time it seems like they do not care about you . The dinner was ok , nothing I would have again . I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",do you like their service ?,extremely dissappointed
"A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere . No gimmicks here -- the food speaks for itself in its freshness and preparation . The dining room is quietly elegant with no music to shout over -- how refreshing ! The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs . Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen . Beautiful experience .",is the food freshly made ?,food speaks for itself
"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong . The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no ... Then , to top things off , she dropped used silverware on my boyfriend 's jacket and did not stop to apologize or clean the mess that was left on clothes . Such a disappointment ... Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",how about their service ?,Rude
"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong . The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no ... Then , to top things off , she dropped used silverware on my boyfriend 's jacket and did not stop to apologize or clean the mess that was left on clothes . Such a disappointment ... Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",do you like their food ?,medicore
"I have been twice to this restaurant . I love it . I plan on stopping by next week as well . I found it on a cold night , the perfect spot to warm up . I recieved prompt service with a smile . To me it exemplifies Soho , cute , artsy , interesting . Definately check it out ! ! !",how is their service ?,prompt service with a smile
"Great Shabu Shabu I go here at least once every other week , particularly when it 's cold ! I love it . To be honest we only ever eat the Shabu Shabu . I tried a couple other dishes but was n't too impressed . But for the Shabu Shabu , you wo n't find much better in NY . In fact there is only one I 've tried that even compares ( shabu Tatsu ) and even then I prefer Dokebi . The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",how are their other dishes ?,n't too impressed
"Great Shabu Shabu I go here at least once every other week , particularly when it 's cold ! I love it . To be honest we only ever eat the Shabu Shabu . I tried a couple other dishes but was n't too impressed . But for the Shabu Shabu , you wo n't find much better in NY . In fact there is only one I 've tried that even compares ( shabu Tatsu ) and even then I prefer Dokebi . The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",is the meat fresh ?,fresh
"Great Shabu Shabu I go here at least once every other week , particularly when it 's cold ! I love it . To be honest we only ever eat the Shabu Shabu . I tried a couple other dishes but was n't too impressed . But for the Shabu Shabu , you wo n't find much better in NY . In fact there is only one I 've tried that even compares ( shabu Tatsu ) and even then I prefer Dokebi . The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",do you like their sauce ?,great
"Great Shabu Shabu I go here at least once every other week , particularly when it 's cold ! I love it . To be honest we only ever eat the Shabu Shabu . I tried a couple other dishes but was n't too impressed . But for the Shabu Shabu , you wo n't find much better in NY . In fact there is only one I 've tried that even compares ( shabu Tatsu ) and even then I prefer Dokebi . The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",how is their service ?,good
First of all Dal Bukhara Rocks . As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by . but ive heard a lot about this for the past 2 yrs and finally decided to eat here . I am happy i did the food was awsome . JUST AWSOME . and yes Dal Bukhara is so dam good and so are all the kababs . They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey . but overall i give it a 10 10,do you like their kababs ?,so dam good
First of all Dal Bukhara Rocks . As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by . but ive heard a lot about this for the past 2 yrs and finally decided to eat here . I am happy i did the food was awsome . JUST AWSOME . and yes Dal Bukhara is so dam good and so are all the kababs . They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey . but overall i give it a 10 10,how would you rate this restaurant ?,10 10
"Great Indian food I lived on 50th st , and wanted Indian one day so decided to check this place out . Food was amazing - I love Indian food and eat it quite regularly , but I can say this is one of the best I 've had . Very "" normal Indian food "" , but done really well . I have it a 4 instead of 5 because of the price ( just chicken tikka masala - no bread of rice - is $ 25 ) , which I would expect at a upscale Indian restaurant but this place does n't have an upscale feel . Also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ . I do n't appreciate places or people that try to drive up the bill without the patron 's knowledge so that was a huge turnoff ( more than the price ) . But if you 're prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for Indian food",how much for the chicken tikka masala ?,no bread of rice - is $ 25
"We went to Ino for Valentines . We have been to this place many times , and always have great food , wine , and service . We were worried we would have trouble getting in , but somehow managed to have a short wait . As always we had a great glass of wine while we waited . When we sat , we got great and fast service . The people that work there are always so friendly you forget you are in New York sometimes . Make sure you try this place as often as you can .",how is the food there ?,great
"We went to Ino for Valentines . We have been to this place many times , and always have great food , wine , and service . We were worried we would have trouble getting in , but somehow managed to have a short wait . As always we had a great glass of wine while we waited . When we sat , we got great and fast service . The people that work there are always so friendly you forget you are in New York sometimes . Make sure you try this place as often as you can .",will you recommend this place ?,Make sure you try this place as often as you can
"What a hassle ! The food is very good , but not outstanding . There is no way it justifies the accolades it receives , the attitude of the staff or the wait for a table . On our last visit , they skipped over our name on the list , leaving us waiting an extra hour for a table . Mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine ... but not the grunt that we received from the Al Di La staff . Without the wait or attitude , I would probably go back , but there are just too many other restaurants in Brooklyn that are as good or better and do n't make me jump through hoops .",how is the food ?,"very good , but not outstanding"
"What a hassle ! The food is very good , but not outstanding . There is no way it justifies the accolades it receives , the attitude of the staff or the wait for a table . On our last visit , they skipped over our name on the list , leaving us waiting an extra hour for a table . Mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine ... but not the grunt that we received from the Al Di La staff . Without the wait or attitude , I would probably go back , but there are just too many other restaurants in Brooklyn that are as good or better and do n't make me jump through hoops .",will you come back again ?,would probably
"Everything about this restaurant was special . The service was attentive , yet discreet . The flavors robust and subtle . The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal . I 'm saving up for my next visit .",how is their service ?,"attentive , yet discreet"
"Great place to relax and enjoy your dinner There is something about their atmosphere that makes me come back nearly every week . Place is open till late , no dress code . Good food : my favorite is the seafood spaghetti . Highly recommended !",how is the food ?,Good
"Great place to relax and enjoy your dinner There is something about their atmosphere that makes me come back nearly every week . Place is open till late , no dress code . Good food : my favorite is the seafood spaghetti . Highly recommended !",what do you like most there ?,seafood spaghetti
"Great place to relax and enjoy your dinner There is something about their atmosphere that makes me come back nearly every week . Place is open till late , no dress code . Good food : my favorite is the seafood spaghetti . Highly recommended !",will you recommend this place ?,Highly recommended
"Anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary . The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these . The sandwiches are dry , tasteless and way overpriced . Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",how are their sandwiches ?,"dry , tasteless and way overpriced"
love the food . it 's the only place you can get yummy authentic japanese comfort food . it helps if you know what to order . and you ca n't beat the prices . highly recommended .,what 's the style of their food ?,authentic japanese comfort food
love the food . it 's the only place you can get yummy authentic japanese comfort food . it helps if you know what to order . and you ca n't beat the prices . highly recommended .,what do you think of the price ?,ca n't beat
love the food . it 's the only place you can get yummy authentic japanese comfort food . it helps if you know what to order . and you ca n't beat the prices . highly recommended .,will you recommend this place ?,highly recommended
"Out of the hundreds of Italian restaurants in Queens , this is among the best . The shrimp scampi was excellent and the antipasti were plentiful . It is expensive but well worth the money . If you venture off the island of Manhattan and ca n't seem to find a great Italian restaurant , drive to Corona .",how is the shrimp scampi ?,excellent
"Out of the hundreds of Italian restaurants in Queens , this is among the best . The shrimp scampi was excellent and the antipasti were plentiful . It is expensive but well worth the money . If you venture off the island of Manhattan and ca n't seem to find a great Italian restaurant , drive to Corona .",how 's the amount for antipasti ?,plentiful
"Out of the hundreds of Italian restaurants in Queens , this is among the best . The shrimp scampi was excellent and the antipasti were plentiful . It is expensive but well worth the money . If you venture off the island of Manhattan and ca n't seem to find a great Italian restaurant , drive to Corona .",how is the value of the food there ?,well worth the money
I went there in late afternoon for some bite size food and refleshment with my date . The place was quiet and delightful . Service was good and food is wonderful . I did not try the caviar but I tried their salmon and crab salad ( they are all good ) It is definitely a good spot for snacks and chat .,how would you rate about their service ?,good
I went there in late afternoon for some bite size food and refleshment with my date . The place was quiet and delightful . Service was good and food is wonderful . I did not try the caviar but I tried their salmon and crab salad ( they are all good ) It is definitely a good spot for snacks and chat .,do they have salad ?,salmon and crab salad
I went there in late afternoon for some bite size food and refleshment with my date . The place was quiet and delightful . Service was good and food is wonderful . I did not try the caviar but I tried their salmon and crab salad ( they are all good ) It is definitely a good spot for snacks and chat .,how is their salmon salad ?,good
I went there in late afternoon for some bite size food and refleshment with my date . The place was quiet and delightful . Service was good and food is wonderful . I did not try the caviar but I tried their salmon and crab salad ( they are all good ) It is definitely a good spot for snacks and chat .,is it good for snacks and chat ?,good
"This restaurant used to be our regular Thursday night dinner location . During the course of the past 3 months , the chef and staff changed and it was not for the better . I wish they would change back to what it was before . The food now is inconsistent .",is this restaurant as good as before ?,the chef and staff changed and it was not for the better
"I 've been here twice now . The first time the sushi was outstanding , the second time it was a little bland . I 'm sure I 'll return for a final judgement tho . The blond wood decor is very soothing , the premium sake is excellent and the service is great .",how is the sushi ?,outstanding
"I 've been here twice now . The first time the sushi was outstanding , the second time it was a little bland . I 'm sure I 'll return for a final judgement tho . The blond wood decor is very soothing , the premium sake is excellent and the service is great .",how is their service ?,great
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went . I would highly recommand requesting a table by the window . Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,how is the food ?,good
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went . I would highly recommand requesting a table by the window . Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,any recommended place to sit ?,table by the window
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went . I would highly recommand requesting a table by the window . Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,do you like their service ?,good
